2020-05-30T21:34:12,065 TRACE [Test worker]: ClientController                     - Controller - getAllClients - entered 
2020-05-30T21:35:02,091 TRACE [Test worker]: ClientController                     - Controller - getAllClients - entered 
2020-05-30T21:47:27,403 TRACE [Test worker]: ClientController                     - Controller - getAllClients - entered 
2020-05-30T21:47:27,510 TRACE [Test worker]: ClientController                     - Controller - getAllClients - clients: 
 [ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null), ClientDto(super=BaseDto(id=2), name=sn2, age=33, rentals=null)] 
2020-06-02T00:47:50,703 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:47:50,727 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T00:48:27,010 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:48:27,031 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T00:50:38,735 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:50:38,757 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T00:52:51,298 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:52:51,322 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T00:56:41,590 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:56:41,624 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T00:57:27,476 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:57:27,527 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T00:58:34,847 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T00:58:34,869 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T01:02:20,805 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T01:02:20,829 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T01:03:58,306 TRACE [Test worker]: ClientController                     - Controller - getAllClients - entered 
2020-06-02T01:03:58,319 TRACE [Test worker]: ClientController                     - Controller - getAllClients - clients: 
 [ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null), ClientDto(super=BaseDto(id=2), name=sn2, age=33, rentals=null)] 
2020-06-02T01:06:51,724 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T01:06:51,746 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T01:08:38,572 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T01:08:38,595 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T01:12:10,932 TRACE [Test worker]: ClientController                     - Controller - updateClient - id: sn1 client: ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T01:12:10,963 TRACE [Test worker]: ClientController                     - Controller - client updated 
2020-06-02T01:19:49,813 TRACE [Test worker]: ClientController                     - Controller - addClient - ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T01:19:49,843 TRACE [Test worker]: ClientController                     - Controller - client saved 
2020-06-02T01:20:55,407 TRACE [Test worker]: ClientController                     - Controller - addClient - ClientDto(super=BaseDto(id=1), name=sn1, age=55, rentals=null) 
2020-06-02T01:20:55,439 TRACE [Test worker]: ClientController                     - Controller - client saved 
2020-06-02T01:22:52,959 WARN  [Test worker]: DefaultHandlerExceptionResolver      - Failed to read HTTP message: org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unrecognized token 'sn1': was expecting ('true', 'false' or 'null'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unrecognized token 'sn1': was expecting ('true', 'false' or 'null')
 at [Source: (PushbackInputStream); line: 1, column: 7] 
2020-06-02T01:23:43,585 TRACE [Test worker]: ClientController                     - Controller - deleteClient - id: sn1  
2020-06-02T01:23:43,606 TRACE [Test worker]: ClientController                     - Controller - client deleted 
2020-06-02T01:31:19,602 TRACE [Test worker]: MovieController                      - Controller - updateMovie - id: title1 
2020-06-02T01:31:19,625 TRACE [Test worker]: MovieController                      - Controller - movie deleted 
2020-06-02T01:31:26,405 TRACE [Test worker]: MovieController                      - Controller - addMovie - movie: MovieDto(super=BaseDto(id=1), title=title1, genre=genre, year=1999, rentals=null) 
2020-06-02T01:31:26,441 TRACE [Test worker]: MovieController                      - Controller - movie added 
2020-06-02T01:31:35,731 TRACE [Test worker]: MovieController                      - Controller - updateMovie - id: title1 movie: MovieDto(super=BaseDto(id=1), title=title1, genre=genre, year=1999, rentals=null) 
2020-06-02T01:31:35,756 TRACE [Test worker]: MovieController                      - Controller - movie updated 
2020-06-02T01:33:13,754 TRACE [Test worker]: MovieController                      - Controller - updateMovie - id: title1 movie: MovieDto(super=BaseDto(id=1), title=title1, genre=genre, year=1999, rentals=null) 
2020-06-02T01:33:13,780 TRACE [Test worker]: MovieController                      - Controller - movie updated 
2020-06-02T01:35:15,818 TRACE [Test worker]: MovieController                      - Controller - updateMovie - id: title1 movie: MovieDto(super=BaseDto(id=1), title=title1, genre=genre, year=1999, rentals=null) 
2020-06-02T01:35:15,840 TRACE [Test worker]: MovieController                      - Controller - movie updated 
